id,type_key,box,position,qty,manufacturer,condition,type1,type2,origin,test_values,other,date_added,notes
1,75,SUC Az.,A,1,,,,,Rui Rosa,,,2026-08-27,
2,84,SUC Az.,A,1,,,6Z4,,Rui Rosa,,,2026-08-27,
3,12AT6,SUC Az.,Cx Pq. A,1,,,,,Rui Rosa,,,2026-08-27,
4,12BA6,SUC Az.,Cx Pq. A,1,,,,,Rui Rosa,,,2026-08-27,
5,12BA6,SUC Az.,C,1,,,,,Rui Rosa,,,2026-08-27,
6,12BE6,SUC Az.,C Esq:,2,,,,,Rui Rosa,,,2026-08-27,
7,25Z5,SUC Az.,Cx Gr. A,1,,,,,Rui Rosa,,,2026-08-27,
8,35W4,SUC Az.,Cx Pq. A,1,,,,,Rui Rosa,,,2026-08-27,
9,39E44,SUC Az.,A,2,,,39/44,,Rui Rosa,,,2026-08-27,
10,42E,SUC Az.,A,1,,,,,Rui Rosa,,,2026-08-27,
11,6A7,SUC Az.,a,1,,,,,Rui Rosa,,,2026-08-27,
12,6A7,SUC Az.,Cx Gr. A,1,,,,,Rui Rosa,,,2026-08-27,
13,6AN6,SUC Az.,C,3,,,,,Rui Rosa,,,2026-08-27,
14,6AX4,SUC Az.,,1,,,,,Rui Rosa,,,2026-08-27,
15,6D6,SUC Az.,A,1,,,,,Rui Rosa,,,2026-08-27,
16,6X4,SUC Az.,C Esq.,1,,,,,Rui Rosa,,,2026-08-27,Filamento em CC?
17,DY67,SUC Az.,B,1,,,??,,Rui Rosa,,,2026-08-27,
18,DY802,SUC Az.,C Esq.,1,,,,,Rui Rosa,,,2026-08-27,
19,EBC42,SUC Az.,B,1,,,Vm.,,Rui Rosa,,,2026-08-27,
20,ECH3,SUC Az.,Cx Gr. A,1,,,,,Rui Rosa,,,2026-08-27,
21,ECH42,SUC Az.,,1,,,,,Rui Rosa,,,2026-08-27,
22,ECH81,SUC Az.,C,2,,,,,Rui Rosa,,,2026-08-27,
23,EF184,SUC Az.,B,1,,,,,Rui Rosa,,,2026-08-27,
24,EF41,SUC Az.,B,1,,,,,Rui Rosa,,,2026-08-27,
25,EF9,SUC Az.,A,1,,,,,Rui Rosa,,,2026-08-27,
26,EL,SUC Az.,B,1,,,,,Rui Rosa,,,2026-08-27,
27,EM,SUC Az.,B,1,,,EM81,,Rui Rosa,,,2026-08-27,
28,NN1,SUC Az.,,1,,,,,Rui Rosa,,,2026-08-27,
29,NN2,SUC Az.,C,1,,,,,Rui Rosa,,,2026-08-27,
30,NN3,SUC Az.,,1,,,PCF86,,Rui Rosa,,,2026-08-27,
31,NN4,SUC Az.,B,1,,,,,Rui Rosa,,,2026-08-27,
32,NN5,SUC Az.,B,1,,,PCF86?,,Rui Rosa,,CT160,2026-08-27,
33,NN6,SUC Az.,B,1,,,PCC89?,,Rui Rosa,,,2026-08-27,
34,NN7,SUC Az.,B,1,,,805?,,Rui Rosa,,,2026-08-27,
35,NN8,SUC Az.,A,1,,,,,Rui Rosa,,,2026-08-27,
36,NSP2,SUC Az.,A,1,,,,,Rui Rosa,Strobe Tube,,2026-08-27,
37,P80,SUC Az.,B,1,,,,,Rui Rosa,,,2026-08-27,
38,PCC89,SUC Az.,,1,,,Br.,,Rui Rosa,,,2026-08-27,
39,PCF80,SUC Az.,B,1,,,,,Rui Rosa,,,2026-08-27,
40,PCL805,SUC Az.,B meio,1,,,,,Rui Rosa,,,2026-08-27,
41,PCL85,SUC Az.,B meio,2,,,,,Rui Rosa,,,2026-08-27,
42,PCL85,SUC Az.,Cx Pq. A,1,,,,,Rui Rosa,,,2026-08-27,
43,PY81,SUC Az.,Cx Pq. A,1,,,,,Rui Rosa,,,2026-08-27,
44,UABC80,SUC Az.,B,1,,,,,Rui Rosa,,,2026-08-27,
45,UL41,SUC Az.,B,1,,,,,Rui Rosa,,,2026-08-27,
46,UY85,SUC Az.,,1,,,,,Rui Rosa,,,2026-08-27,
47,7H7,Saco Az,,1,NN,,,,Paulo Barreto,,,2026-08-27,
48,DY802,Saco Az,,2,PHILIPS,,,,Paulo Barreto,,,2026-08-27,
49,DY802,Saco Az,,1,,NOS,,,Paulo Barreto,,,2026-08-27,
50,DY802,Saco Az,,3,ZAERIX,,,,Paulo Barreto,,,2026-08-27,
51,DY88,Saco Az,,1,BEL,,,,Paulo Barreto,,,2026-08-27,
52,EF183,Saco Az,,2,PHILIPS,,,,Paulo Barreto,,,2026-08-27,
53,EF183,Saco Az,,1,SIEMIENS,NOS,,,Paulo Barreto,,,2026-08-27,
54,EF183,Saco Az,,1,SIEMENS,NOS,,,Paulo Barreto,,,2026-08-27,
55,EF183,Saco Az,,1,SIEMENS,,,,Paulo Barreto,,,2026-08-27,
56,EF183,Saco Az,,1,,,,,Paulo Barreto,,,2026-08-27,
57,EF184,Saco Az,,1,PHILIPS,,,,Paulo Barreto,,,2026-08-27,
58,EF184,Saco Az,,1,EDISWAN,NOS,,,Paulo Barreto,,,2026-08-27,
59,EF184,Saco Az,,2,,,,,Paulo Barreto,,,2026-08-27,
60,PC86,Saco Az,,1,,,,,Paulo Barreto,,,2026-08-27,
61,PC88,Saco Az,,1,PHILIPS,,,,Paulo Barreto,,,2026-08-27,
62,PC900,Saco Az,,1,MULLARD,NOS,,,Paulo Barreto,,,2026-08-27,
63,PC900,Saco Az,,1,TEONEX,NOS,,,Paulo Barreto,,,2026-08-27,
64,PC900,Saco Az,,1,MULLARD,,,,Paulo Barreto,,,2026-08-27,
65,PC900,Saco Az,,1,,NOS,,,Paulo Barreto,,,2026-08-27,
66,PC900,Saco Az,,1,PHILIPS,,,,Paulo Barreto,,,2026-08-27,
67,PC92,Saco Az,,1,TELEFUNKEN,,,,Paulo Barreto,,,2026-08-27,
