type_key,name,function,family,base,pins,heater_v,heater_a,va_max,pa_max,gm,mu,power_out,freq_max,typical_use,equivalents,datasheet_path,datasheet_url,confidence,notes
10F1,10F1,RF pentode,british (Mazda/Brimar code),,,10.0,,,,,,,,"early all glass screened amplifier pentode. The high impedance suggests applications with tuned circuits as anode loads, such as RF, or more likely due to the high gain, IF amplification in superhet radio, television or radar receivers.",,,,inferred,
12AT7,12AT7,,american (RETMA code),,,12.6,,,,,,,,,ECC81,,,inferred,
12AX7,12AX7,,american (RETMA code),,,12.6,,,,,,,,High Impedance Pre- Amplifier Triode,ECC83 pm,,,inferred,
12BA6,12BA6,variable-mu RF pentode,,,,12.6,,,,,,,,The 12BA6 is described by Brimar as a variable μ pentode for use at HF within AC/DC receivers. Most probably as RF amplifiers.,CV1928 HF93,,,inferred,
12BY7,12BY7,video/driver pentode,,,,12.6,,,,,,,,2BY7A was widely ised by radio amateurs in the 1960's and 1970's as a driver stage for a pair of 6146B,,,,inferred,
150B2,150B2,voltage stabiliser (cold cathode),,,,,,,,,,,,The 150B2 voltage stabiliser has a striking voltage of 165 Volts and over the specified current range will regulate to 5 Volts of the 150 Volts,,,,inferred,
150C4,150C4,voltage stabiliser (cold cathode),,,,,,,,,,,,,,,,inferred,
207,207,,,,,,,,,,,,,,,,,inferred,
210,210,,,,,,,,,,,,,,"Unmarked, Suspected to be 210",,,inferred,
210HL,210HL,,,,,,,,,,,,,"The 210HL from Cossor was listed in their 1935-6 manual and we have an advert for it from 1931. Cossor say of the 210HL that it probably the most popular valve in their battery series for use as a detector. Its characteristics are such as to suit it for use as a leaky grid detector in combination with small LF transformers. Under these conditions sufficient output is obtained to load a small output pentode or triode before overload occurs. In addition, the anode consumption is small, a consideration in receivers using HT batteries. The valve, in common with most other Cossor battery valves for use as HF or IF amplifiers, or as detectors, is fitted with seven point filament suspension. No microphony need therefore be feared as filament vibration is completely damped.",CV1050 CV2571 HL2K K30C K30D K30K PM2HL VT50,,,inferred,
210SS,210 SS,,,,,,,,,,,,,"As Above, by Manufacturere Six Sixty. Second Quality outlet for Mullart",,,,inferred,
220HPT,220HPT,,,,,,,,,,,,,The Cossor New Process 220HPT is a battery audio output pentode. The B4 and side terminal was released in 1932 with the B5 based version following the following year.,KT2,,,inferred,
2C34,2C34,double triode (VHF),,,,6.3,,,,,,,,,4074A CV18 DET 19 VT224,,,inferred,
