id,stock_id,position,serial,manufacturer,condition,notes,added
1,1,,2043,,,,2026-08-27
2,2,,2003,,,,2026-08-27
3,3,,1997,,,,2026-08-27
4,4,,2004,,,,2026-08-27
5,5,,2037,,,,2026-08-27
6,6,,2030,,,,2026-08-27
7,6,,2031,,,,2026-08-27
8,7,,2028,,,,2026-08-27
9,8,,2033,,,,2026-08-27
10,9,,2000,,,,2026-08-27
11,9,,2047,,,,2026-08-27
12,10,,2001,,,,2026-08-27
13,11,,2002,,,,2026-08-27
14,12,,2025,,,,2026-08-27
15,13,,2009,,,,2026-08-27
16,13,,2012,,,,2026-08-27
17,13,,2036,,,,2026-08-27
18,14,,2044,,,,2026-08-27
19,15,,2026,,,,2026-08-27
20,16,,2039,,,,2026-08-27
21,17,,2048,,,,2026-08-27
22,18,,2014,,,,2026-08-27
23,19,,2023,,,,2026-08-27
24,20,,2027,,,,2026-08-27
25,21,,2024,,,,2026-08-27
26,22,,2005,,,,2026-08-27
27,22,,2015,,,,2026-08-27
28,23,,2013,,,,2026-08-27
29,24,,2020,,,,2026-08-27
30,25,,2029,,,,2026-08-27
31,26,,2017,,,,2026-08-27
32,27,,2042,,,,2026-08-27
33,28,,2010,,,,2026-08-27
34,29,,2011,,,,2026-08-27
35,30,,2019,,,,2026-08-27
36,31,,2038,,,,2026-08-27
37,32,,2040,,,,2026-08-27
38,33,,2041,,,,2026-08-27
39,34,,2018,,,,2026-08-27
40,35,,2045,,,,2026-08-27
41,36,,2046,,,,2026-08-27
42,37,,2022,,,,2026-08-27
43,38,,2016,,,,2026-08-27
44,39,,2021,,,,2026-08-27
45,40,,2008,,,,2026-08-27
46,41,,1998,,,,2026-08-27
47,41,,2006,,,,2026-08-27
48,42,,2007,,,,2026-08-27
49,43,,2034,,,,2026-08-27
50,44,,1999,,,,2026-08-27
51,45,,2035,,,,2026-08-27
52,46,,2032,,,,2026-08-27
53,47,,562,,,,2026-08-27
54,48,,1007,,,,2026-08-27
55,48,,1012,,,,2026-08-27
56,49,,1008,,,,2026-08-27
57,50,,1009,,,,2026-08-27
58,50,,1010,,,,2026-08-27
59,50,,1011,,,,2026-08-27
60,51,,1018,,,,2026-08-27
61,52,,1272,,,,2026-08-27
62,52,,1277,,,,2026-08-27
63,53,,1273,,,,2026-08-27
64,54,,1274,,,,2026-08-27
65,55,,1275,,,,2026-08-27
66,56,,1276,,,,2026-08-27
67,57,,1288,,,,2026-08-27
68,58,,1289,,,,2026-08-27
69,59,,1290,,,,2026-08-27
70,59,,1291,,,,2026-08-27
